MatchID,Map,Player,Team,Agent,Rating,Average Combat Score,Kills,Deaths,Assists,First Kills,First Deaths
9,Haven,t3xture,GEN,jett,1.39,247,20,12,2,5,3
9,Haven,Munchkin,GEN,viper,1.29,207,14,11,12,3,1
9,Haven,Karon,GEN,omen,1.27,290,23,14,9,2,0
9,Haven,Lakia,GEN,skye,1.00,118,9,11,9,1,1
9,Haven,Meteor,GEN,killjoy,0.73,110,9,11,3,2,3
9,Haven,Lmemore,RRQ,sova,1.19,226,16,13,5,3,1
9,Haven,Estrella,RRQ,breach,0.98,141,9,13,12,1,2
9,Haven,Jemkin,RRQ,jett,0.84,182,13,18,7,2,4
9,Haven,Monyet,RRQ,omen,0.81,143,10,15,11,1,4
9,Haven,xffero,RRQ,cypher,0.79,156,11,16,7,1,2
9,Bind,Meteor,GEN,cypher,1.28,286,26,17,1,3,3
9,Bind,Karon,GEN,brimstone,1.26,219,20,14,12,1,0
9,Bind,Munchkin,GEN,viper,0.99,153,12,13,8,4,0
9,Bind,t3xture,GEN,raze,0.82,195,16,19,4,5,3
9,Bind,Lakia,GEN,skye,0.72,122,10,17,9,3,2
9,Bind,Jemkin,RRQ,yoru,1.29,246,22,14,4,4,2
9,Bind,Estrella,RRQ,omen,1.07,189,16,16,9,1,2
9,Bind,Monyet,RRQ,raze,0.99,218,17,20,5,2,5
9,Bind,xffero,RRQ,cypher,0.95,215,17,17,6,0,2
9,Bind,Lmemore,RRQ,deadlock,0.57,105,8,17,5,1,5
10,Lotus,Jremy,TS,neon,1.34,267,23,15,6,5,2
10,Lotus,JessieVash,TS,cypher,1.25,221,17,12,6,4,2
10,Lotus,2ge,TS,omen,0.94,185,16,17,8,3,4
10,Lotus,Wild0reoo,TS,skye,0.92,178,16,17,12,0,3
10,Lotus,invy,TS,sova,0.79,135,11,19,10,0,1
10,Lotus,primmie,TLN,clove,1.11,278,24,21,4,2,2
10,Lotus,ban,TLN,deadlock,1.04,142,13,13,3,2,3
10,Lotus,JitBoyS,TLN,omen,1.01,154,13,16,11,2,1
10,Lotus,Crws,TLN,fade,0.90,181,15,16,7,1,2
10,Lotus,Governor,TLN,raze,0.86,195,15,18,2,5,4
10,Abyss,JessieVash,TS,sova,1.21,230,19,17,4,3,0
10,Abyss,invy,TS,kayo,1.18,223,18,17,16,2,3
10,Abyss,Wild0reoo,TS,cypher,1.03,192,18,17,5,2,3
10,Abyss,2ge,TS,omen,0.83,157,13,17,7,0,3
10,Abyss,Jremy,TS,jett,0.69,140,12,19,2,5,5
10,Abyss,JitBoyS,TLN,omen,1.24,211,18,15,13,2,1
10,Abyss,primmie,TLN,jett,1.22,332,28,21,4,6,1
10,Abyss,Governor,TLN,sova,1.19,181,16,13,6,1,2
10,Abyss,Crws,TLN,breach,0.80,115,9,13,7,2,4
10,Abyss,ban,TLN,cypher,0.62,156,13,18,3,1,2
11,Ascent,d4v41,PRX,sova,1.11,165,11,14,9,1,0
11,Ascent,Jinggg,PRX,raze,0.90,229,17,19,1,2,4
11,Ascent,something,PRX,reyna,0.89,149,12,15,5,2,2
11,Ascent,mindfreak,PRX,omen,0.86,166,14,15,5,2,2
11,Ascent,f0rsakeN,PRX,harbor,0.76,164,13,17,5,3,5
11,Ascent,Munchkin,GEN,kayo,1.33,247,19,14,17,2,2
11,Ascent,t3xture,GEN,jett,1.32,256,24,13,1,4,2
11,Ascent,Lakia,GEN,sova,1.13,180,13,11,9,0,1
11,Ascent,Karon,GEN,omen,1.08,178,14,16,14,6,3
11,Ascent,Meteor,GEN,killjoy,0.86,114,10,13,3,1,2
11,Icebox,f0rsakeN,PRX,kayo,1.11,224,14,15,13,0,2
11,Icebox,Jinggg,PRX,sage,0.88,184,11,15,3,3,2
11,Icebox,mindfreak,PRX,viper,0.77,127,7,14,5,1,0
11,Icebox,d4v41,PRX,killjoy,0.54,111,5,15,1,1,2
11,Icebox,something,PRX,jett,0.40,88,6,18,2,1,6
11,Icebox,Meteor,GEN,killjoy,1.57,314,22,8,2,3,0
11,Icebox,Munchkin,GEN,kayo,1.43,267,16,9,13,1,2
11,Icebox,t3xture,GEN,jett,1.41,314,20,10,4,6,1
11,Icebox,Karon,GEN,viper,1.18,182,13,8,4,1,2
11,Icebox,Lakia,GEN,gekko,0.87,101,6,8,2,1,1
12,Ascent,BuZz,DRX,jett,1.36,262,22,13,3,4,4
12,Ascent,MaKo,DRX,omen,1.18,242,18,15,12,5,1
12,Ascent,Flashback,DRX,killjoy,0.97,179,14,15,3,0,1
12,Ascent,BeYN,DRX,sova,0.75,189,13,16,8,1,3
12,Ascent,Foxy9,DRX,kayo,0.72,159,11,17,10,0,2
12,Ascent,Governor,TLN,kayo,1.27,223,16,14,12,2,2
12,Ascent,ban,TLN,killjoy,1.26,284,21,15,3,2,0
12,Ascent,primmie,TLN,jett,1.03,224,16,16,5,3,4
12,Ascent,JitBoyS,TLN,omen,0.90,152,13,15,8,1,1
12,Ascent,Crws,TLN,sova,0.63,160,10,18,7,3,3
12,Abyss,Flashback,DRX,cypher,1.91,288,21,5,7,3,0
12,Abyss,BuZz,DRX,jett,1.49,285,17,11,5,5,1
12,Abyss,MaKo,DRX,omen,1.25,224,13,10,7,1,0
12,Abyss,BeYN,DRX,sova,1.22,197,13,10,3,3,1
12,Abyss,Foxy9,DRX,kayo,0.89,138,8,12,6,1,2
12,Abyss,primmie,TLN,iso,1.24,312,17,14,5,3,3
12,Abyss,JitBoyS,TLN,omen,0.89,269,17,15,1,0,1
