MatchID,MapID,Map Name,Winner,Loser,Winner Score,Winner Attack Score,Winner Defense Score,Loser Score,Loser Attack Score,Loser Defense Score
17,3,Haven,Natus Vincere,Team Vitality,13,7,6,8,6,2
17,8,Sunset,Team Vitality,Natus Vincere,13,10,3,5,3,2
17,4,Ascent,Team Vitality,Natus Vincere,13,5,8,7,0,7
18,5,Icebox,Karmine Corp,FNATIC,13,6,7,7,5,2
18,8,Sunset,FNATIC,Karmine Corp,15,6,6,13,6,6
18,2,Lotus,FNATIC,Karmine Corp,13,8,5,6,2,4
19,5,Icebox,Team Heretics,Team Vitality,14,3,9,12,3,9
19,8,Sunset,Team Vitality,Team Heretics,13,6,7,10,5,5
19,6,Bind,Team Vitality,Team Heretics,14,7,5,12,7,5
20,8,Sunset,FNATIC,FUT Esports,15,7,5,13,7,5
20,3,Haven,FNATIC,FUT Esports,13,8,5,5,1,4
21,2,Lotus,FNATIC,Team Vitality,13,8,5,11,7,4
21,8,Sunset,FNATIC,Team Vitality,13,4,9,6,3,3
22,1,Abyss,Team Heretics,FUT Esports,13,6,7,10,4,6
22,8,Sunset,Team Heretics,FUT Esports,13,8,5,11,7,4
23,5,Icebox,Team Heretics,Team Vitality,13,4,9,6,3,3
23,8,Sunset,Team Vitality,Team Heretics,13,5,8,4,4,0
23,2,Lotus,Team Vitality,Team Heretics,13,4,9,3,3,0
23,3,Haven,Team Vitality,Team Heretics,13,8,5,9,5,4
24,3,Haven,FNATIC,Team Vitality,13,4,9,8,3,5
24,4,Ascent,Team Vitality,FNATIC,13,8,5,9,5,4
24,2,Lotus,FNATIC,Team Vitality,13,5,8,9,4,5
24,6,Bind,FNATIC,Team Vitality,13,3,10,3,2,1
