MatchID,Map,Player,Team,Agent,Rating,Average Combat Score,Kills,Deaths,Assists,First Kills,First Deaths
17,Haven,Sayf,VIT,jett,1.18,258,19,15,3,5,3
17,Haven,Kicks,VIT,breach,0.93,186,14,14,7,2,1
17,Haven,trexx,VIT,sova,0.89,200,14,15,10,0,5
17,Haven,runneR,VIT,cypher,0.74,172,15,17,2,0,1
17,Haven,ceNder,VIT,omen,0.59,131,8,16,8,1,3
17,Haven,Shao,NAVI,sova,1.56,268,22,12,4,2,0
17,Haven,ardiis,NAVI,yoru,1.39,254,19,14,9,2,0
17,Haven,Zyppan,NAVI,neon,1.05,250,17,16,4,5,4
17,Haven,SUYGETSU,NAVI,cypher,1.01,138,11,12,4,2,1
17,Haven,ANGE1,NAVI,omen,0.60,103,8,16,8,2,3
17,Sunset,Sayf,VIT,neon,1.61,319,21,10,4,1,3
17,Sunset,Kicks,VIT,kayo,1.56,227,14,8,17,2,1
17,Sunset,trexx,VIT,sova,1.49,258,17,8,5,2,0
17,Sunset,ceNder,VIT,omen,1.18,219,13,11,7,4,1
17,Sunset,runneR,VIT,cypher,0.84,137,11,9,0,2,2
17,Sunset,Zyppan,NAVI,neon,0.86,203,12,14,4,1,1
17,Sunset,ardiis,NAVI,kayo,0.71,117,6,15,9,1,1
17,Sunset,SUYGETSU,NAVI,cypher,0.66,116,7,16,4,0,1
17,Sunset,Shao,NAVI,sova,0.65,204,14,15,1,2,4
17,Sunset,ANGE1,NAVI,omen,0.57,120,7,16,4,3,4
17,Ascent,trexx,VIT,sova,1.50,292,22,12,5,1,3
17,Ascent,Kicks,VIT,kayo,1.36,279,20,13,10,2,0
17,Ascent,ceNder,VIT,omen,1.15,146,10,10,13,1,3
17,Ascent,Sayf,VIT,jett,0.98,176,13,13,2,1,5
17,Ascent,runneR,VIT,killjoy,0.95,166,11,13,6,3,1
17,Ascent,SUYGETSU,NAVI,cypher,1.05,174,15,13,3,1,1
17,Ascent,Zyppan,NAVI,kayo,0.92,209,15,16,11,2,2
17,Ascent,ardiis,NAVI,jett,0.81,158,11,14,3,4,3
17,Ascent,Shao,NAVI,omen,0.71,168,11,17,8,2,2
17,Ascent,ANGE1,NAVI,sova,0.61,130,9,16,1,3,0
18,Icebox,Alfajer,FNC,killjoy,1.08,201,16,13,1,4,2
18,Icebox,Boaster,FNC,viper,0.87,192,13,14,5,0,2
18,Icebox,Chronicle,FNC,sova,0.86,137,9,11,5,0,1
18,Icebox,Derke,FNC,iso,0.77,198,13,17,2,4,4
18,Icebox,hiro,FNC,gekko,0.61,85,5,14,5,0,3
18,Icebox,N4RRATE,KC,jett,1.52,337,24,14,2,6,0
18,Icebox,sh1n,KC,viper,1.40,201,15,8,4,2,1
18,Icebox,tomaszy,KC,killjoy,0.97,154,11,10,0,1,2
18,Icebox,MAGNUM,KC,sova,0.96,143,10,11,3,2,2
18,Icebox,marteen,KC,gekko,0.83,117,9,13,6,1,3
18,Sunset,hiro,FNC,cypher,1.29,283,30,18,5,2,6
18,Sunset,Alfajer,FNC,breach,1.18,225,24,20,7,2,1
18,Sunset,Chronicle,FNC,sova,0.93,191,16,20,11,1,0
18,Sunset,Derke,FNC,raze,0.91,182,19,18,3,3,4
18,Sunset,Boaster,FNC,astra,0.81,160,14,21,9,3,6
18,Sunset,marteen,KC,raze,1.12,209,24,18,0,4,2
18,Sunset,sh1n,KC,omen,1.08,230,21,21,9,7,0
18,Sunset,MAGNUM,KC,breach,0.93,179,17,21,15,3,2
18,Sunset,N4RRATE,KC,jett,0.92,203,19,22,9,3,4
18,Sunset,tomaszy,KC,cypher,0.75,162,16,21,7,0,3
18,Lotus,hiro,FNC,fade,1.18,196,15,10,5,1,2
18,Lotus,Chronicle,FNC,viper,1.12,278,19,13,7,1,1
18,Lotus,Boaster,FNC,omen,1.04,189,15,13,10,0,3
18,Lotus,Alfajer,FNC,killjoy,1.00,240,15,13,2,2,0
18,Lotus,Derke,FNC,raze,0.73,210,13,14,3,4,5
18,Lotus,N4RRATE,KC,fade,1.46,293,20,13,10,2,0
18,Lotus,marteen,KC,yoru,1.20,286,19,17,7,5,4
18,Lotus,tomaszy,KC,cypher,0.90,162,11,15,5,1,0
18,Lotus,sh1n,KC,omen,0.84,143,9,16,11,1,2
18,Lotus,MAGNUM,KC,sova,0.50,76,4,16,4,2,2
19,Icebox,Boo,TH,viper,1.25,218,20,15,11,1,1
19,Icebox,benjyfishy,TH,killjoy,1.12,202,20,15,2,1,2
19,Icebox,RieNs,TH,sova,0.95,158,12,16,12,0,1
19,Icebox,MiniBoo,TH,neon,0.85,202,18,20,10,7,6
19,Icebox,Wo0t,TH,gekko,0.84,199,20,19,5,4,2
19,Icebox,trexx,VIT,sova,1.33,284,23,18,11,4,2
19,Icebox,ceNder,VIT,viper,0.99,145,15,16,7,1,3
19,Icebox,Kicks,VIT,gekko,0.95,174,15,19,9,2,3
19,Icebox,runneR,VIT,killjoy,0.93,189,16,18,7,4,1
19,Icebox,Sayf,VIT,jett,0.90,183,16,19,4,1,4
19,Sunset,Boo,TH,omen,1.27,222,19,15,10,4,2
19,Sunset,MiniBoo,TH,neon,1.04,261,22,19,3,6,1
19,Sunset,benjyfishy,TH,cypher,1.00,153,13,15,3,1,2
19,Sunset,RieNs,TH,sova,0.90,169,12,16,7,1,4
19,Sunset,Wo0t,TH,kayo,0.75,109,8,19,15,1,1
19,Sunset,Sayf,VIT,neon,1.42,299,27,16,5,5,3
19,Sunset,trexx,VIT,sova,1.17,199,14,12,15,0,1
19,Sunset,Kicks,VIT,kayo,1.12,210,19,14,10,1,2
19,Sunset,runneR,VIT,cypher,0.87,177,15,15,8,3,2
19,Sunset,ceNder,VIT,omen,0.67,109,9,17,11,1,5
19,Bind,RieNs,TH,gekko,1.35,294,26,16,8,3,4
19,Bind,Boo,TH,brimstone,1.27,217,21,17,9,0,2
19,Bind,benjyfishy,TH,viper,0.96,171,16,18,6,2,2
19,Bind,MiniBoo,TH,raze,0.85,191,15,20,6,3,4
19,Bind,Wo0t,TH,fade,0.80,158,14,21,11,2,4
19,Bind,trexx,VIT,fade,1.22,224,22,16,10,1,3
19,Bind,Sayf,VIT,raze,1.05,245,23,20,4,5,2
19,Bind,runneR,VIT,viper,0.98,199,16,19,15,6,1
19,Bind,ceNder,VIT,omen,0.98,206,19,19,10,3,2
19,Bind,Kicks,VIT,gekko,0.81,130,12,18,9,1,2
20,Sunset,MrFaliN,FUT,breach,1.14,211,21,16,14,2,3
20,Sunset,yetujey,FUT,cypher,1.05,191,21,19,11,4,0
20,Sunset,qRaxs,FUT,gekko,0.95,169,17,17,7,1,0
20,Sunset,AtaKaptan,FUT,omen,0.94,164,18,17,7,3,5
20,Sunset,cNed,FUT,raze,0.82,216,17,23,9,6,4
20,Sunset,Chronicle,FNC,sova,1.30,188,18,13,6,4,0
20,Sunset,Derke,FNC,raze,1.08,250,22,23,2,4,6
20,Sunset,hiro,FNC,cypher,1.07,225,21,18,8,1,5
20,Sunset,Alfajer,FNC,breach,1.04,182,18,19,7,1,1
20,Sunset,Boaster,FNC,astra,0.77,137,13,21,5,2,4
20,Haven,MrFaliN,FUT,sova,0.92,172,9,13,7,2,2
20,Haven,yetujey,FUT,killjoy,0.87,202,10,14,4,1,2
20,Haven,qRaxs,FUT,sage,0.78,130,10,12,4,1,2
20,Haven,cNed,FUT,jett,0.76,174,10,14,1,0,3
20,Haven,AtaKaptan,FUT,omen,0.59,145,9,17,5,2,3
20,Haven,Alfajer,FNC,iso,1.79,370,26,9,1,2,1
20,Haven,Boaster,FNC,omen,1.27,224,13,10,10,3,3
20,Haven,Chronicle,FNC,sova,1.14,144,9,7,6,0,0
20,Haven,Derke,FNC,yoru,1.03,187,12,11,3,4,1
20,Haven,hiro,FNC,cypher,0.86,171,10,11,2,3,1
21,Lotus,Sayf,VIT,raze,1.24,269,21,19,6,2,5
21,Lotus,runneR,VIT,cypher,1.11,208,17,15,9,3,3
21,Lotus,trexx,VIT,fade,1.01,188,15,17,13,2,3
21,Lotus,ceNder,VIT,omen,0.82,153,14,20,5,1,5
21,Lotus,Kicks,VIT,breach,0.76,112,10,19,7,0,0
21,Lotus,Derke,FNC,raze,1.31,283,25,15,7,6,4
21,Lotus,Chronicle,FNC,viper,1.15,240,19,16,10,2,0
21,Lotus,hiro,FNC,fade,1.10,223,20,15,8,2,1
21,Lotus,Alfajer,FNC,killjoy,0.82,141,14,14,1,2,2
21,Lotus,Boaster,FNC,omen,0.81,164,12,17,10,4,1
21,Sunset,Sayf,VIT,neon,1.32,285,18,13,8,3,4
21,Sunset,Kicks,VIT,kayo,1.01,176,12,15,12,0,1
21,Sunset,trexx,VIT,sova,0.95,206,13,14,4,3,0
21,Sunset,runneR,VIT,cypher,0.68,150,9,15,5,1,2
21,Sunset,ceNder,VIT,omen,0.59,95,6,16,8,1,4
21,Sunset,Chronicle,FNC,sova,1.33,256,17,11,10,3,2
21,Sunset,hiro,FNC,cypher,1.17,196,15,10,6,2,2
21,Sunset,Boaster,FNC,astra,1.14,208,13,12,9,3,1
21,Sunset,Alfajer,FNC,breach,1.10,182,12,11,11,1,0
21,Sunset,Derke,FNC,raze,1.10,207,16,14,1,2,3
22,Abyss,RieNs,TH,breach,1.39,264,21,13,18,1,0
22,Abyss,Wo0t,TH,gekko,1.26,218,16,15,15,3,0
22,Abyss,MiniBoo,TH,raze,1.25,252,21,14,3,6,6
22,Abyss,Boo,TH,astra,1.02,179,16,14,5,1,1
22,Abyss,benjyfishy,TH,cypher,0.77,121,11,16,4,2,3
22,Abyss,qRaxs,FUT,gekko,0.98,223,18,15,4,0,1
22,Abyss,yetujey,FUT,cypher,0.87,159,13,17,8,0,1
22,Abyss,MrFaliN,FUT,deadlock,0.86,177,15,16,3,3,1
22,Abyss,cNed,FUT,jett,0.86,219,17,19,2,5,5
22,Abyss,AtaKaptan,FUT,omen,0.79,129,9,18,10,2,5
22,Sunset,RieNs,TH,sova,1.12,183,17,15,4,1,0
22,Sunset,Wo0t,TH,kayo,1.11,185,13,16,20,3,1
22,Sunset,Boo,TH,omen,1.04,195,15,16,14,2,2
22,Sunset,MiniBoo,TH,neon,1.03,230,18,20,5,5,7
22,Sunset,benjyfishy,TH,cypher,1.02,236,22,17,3,2,1
22,Sunset,yetujey,FUT,cypher,1.18,197,16,13,5,1,1
22,Sunset,AtaKaptan,FUT,omen,1.17,280,23,19,7,4,2
22,Sunset,MrFaliN,FUT,breach,0.98,189,17,16,10,0,1
22,Sunset,cNed,FUT,raze,0.79,186,15,19,4,4,6
22,Sunset,qRaxs,FUT,gekko,0.65,157,13,18,6,2,3
23,Icebox,trexx,VIT,sova,0.92,221,13,14,7,1,4
23,Icebox,ceNder,VIT,viper,0.86,212,16,16,2,1,1
23,Icebox,Sayf,VIT,jett,0.76,194,13,17,2,3,3
23,Icebox,Kicks,VIT,gekko,0.72,155,11,15,4,3,2
23,Icebox,runneR,VIT,killjoy,0.70,198,10,18,7,0,1
23,Icebox,RieNs,TH,sova,1.68,339,24,12,6,2,1
23,Icebox,Wo0t,TH,gekko,1.56,301,21,14,11,4,0
23,Icebox,MiniBoo,TH,neon,1.18,260,16,15,12,4,3
23,Icebox,Boo,TH,viper,0.87,116,9,11,4,1,3
23,Icebox,benjyfishy,TH,killjoy,0.76,103,10,11,0,0,1
23,Sunset,runneR,VIT,cypher,1.63,296,20,8,5,4,0
23,Sunset,ceNder,VIT,omen,1.37,224,13,9,12,0,4
23,Sunset,trexx,VIT,sova,1.34,220,13,9,7,3,1
23,Sunset,Sayf,VIT,neon,1.15,215,13,11,5,3,0
23,Sunset,Kicks,VIT,kayo,0.99,174,11,12,8,1,1
23,Sunset,Wo0t,TH,kayo,1.13,258,15,14,7,2,0
23,Sunset,RieNs,TH,sova,0.79,175,10,13,7,0,2
23,Sunset,Boo,TH,omen,0.71,142,9,15,9,0,1
23,Sunset,MiniBoo,TH,neon,0.60,157,9,16,4,4,6
23,Sunset,benjyfishy,TH,cypher,0.56,91,6,12,2,0,2
23,Lotus,Sayf,VIT,raze,2.06,411,27,7,2,6,0
23,Lotus,trexx,VIT,fade,1.42,215,12,6,10,2,1
23,Lotus,ceNder,VIT,omen,1.33,224,15,10,8,2,2
23,Lotus,runneR,VIT,cypher,1.15,194,12,7,1,0,3
23,Lotus,Kicks,VIT,breach,0.89,183,9,11,13,0,0
23,Lotus,MiniBoo,TH,neon,0.96,274,15,16,3,3,4
23,Lotus,Wo0t,TH,fade,0.85,196,9,15,6,1,0
23,Lotus,benjyfishy,TH,cypher,0.76,128,8,13,3,0,0
23,Lotus,RieNs,TH,breach,0.60,126,7,15,10,0,2
23,Lotus,Boo,TH,omen,0.14,58,2,16,4,2,4
23,Haven,trexx,VIT,sova,1.41,242,18,13,12,1,0
23,Haven,runneR,VIT,cypher,1.24,211,18,12,6,0,2
23,Haven,Sayf,VIT,jett,1.22,257,20,14,6,5,7
23,Haven,Kicks,VIT,breach,1.07,147,12,12,10,0,0
23,Haven,ceNder,VIT,omen,0.73,130,9,18,15,2,5
23,Haven,Wo0t,TH,breach,1.26,245,20,14,4,4,0
23,Haven,benjyfishy,TH,cypher,0.99,170,14,14,3,2,3
23,Haven,Boo,TH,omen,0.94,165,13,16,13,4,3
23,Haven,RieNs,TH,sova,0.79,159,12,15,4,3,1
23,Haven,MiniBoo,TH,neon,0.60,147,10,18,5,1,1
24,Haven,Alfajer,FNC,iso,1.47,297,22,12,3,4,4
24,Haven,Derke,FNC,yoru,1.33,278,21,13,5,6,3
24,Haven,Boaster,FNC,omen,1.18,163,14,10,9,1,1
24,Haven,hiro,FNC,cypher,1.18,217,17,15,7,0,1
24,Haven,Chronicle,FNC,sova,1.06,141,11,10,7,0,1
24,Haven,trexx,VIT,sova,0.98,187,13,15,4,0,0
24,Haven,Kicks,VIT,breach,0.83,179,13,17,6,3,2
24,Haven,ceNder,VIT,omen,0.70,152,12,18,6,1,1
24,Haven,runneR,VIT,cypher,0.67,155,11,18,5,3,2
24,Haven,Sayf,VIT,jett,0.66,141,11,17,1,3,6
24,Ascent,Chronicle,FNC,sova,1.32,291,24,15,2,3,0
24,Ascent,Alfajer,FNC,iso,0.89,207,15,16,5,1,4
24,Ascent,hiro,FNC,cypher,0.86,140,11,15,8,2,3
24,Ascent,Derke,FNC,yoru,0.80,193,14,18,7,2,4
24,Ascent,Boaster,FNC,astra,0.71,120,10,15,6,2,1
24,Ascent,Sayf,VIT,jett,1.40,253,21,12,3,3,2
24,Ascent,trexx,VIT,sova,1.15,236,20,16,6,1,0
24,Ascent,runneR,VIT,killjoy,1.07,207,14,15,10,3,2
24,Ascent,Kicks,VIT,kayo,0.94,135,12,16,9,3,2
24,Ascent,ceNder,VIT,omen,0.88,152,12,15,11,2,4
24,Lotus,Alfajer,FNC,killjoy,1.32,239,22,15,3,4,2
24,Lotus,Chronicle,FNC,viper,1.28,284,21,14,13,2,1
24,Lotus,Derke,FNC,raze,1.03,197,14,15,7,3,2
24,Lotus,Boaster,FNC,omen,1.00,154,11,14,16,3,4
24,Lotus,hiro,FNC,fade,0.95,157,12,15,12,1,0
24,Lotus,Kicks,VIT,breach,1.11,207,17,15,11,0,1
24,Lotus,runneR,VIT,cypher,1.10,225,17,17,7,4,0
24,Lotus,ceNder,VIT,omen,0.98,203,16,16,6,2,3
